"id_field","cd_tab","tablename","fieldname","example","regex_reco","typeof","unit","max_char","min_num","max_num","unique","mandatory","extra","regex_field","ref_table","ref_field","lev_ref","comment"
103,1,"metadata","location_name","Cattle Ranch El Cardonal","^location_name$;^locationName$","varchar","NA",50,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
104,1,"metadata","location_type","Private area","^location_type$;^locationType$","varchar","NA",30,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
105,1,"metadata","state","Tolima","^state$","varchar","NA",15,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
106,1,"metadata","country","Colombia","^country$","varchar","NA",10,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
107,1,"metadata","province","Armero","^province$","varchar","NA",30,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
108,1,"metadata","terrain_type","Lowland","^terrainType$;^terrain_type$","varchar","NA",15,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
109,1,"metadata","forest_composition"," Mixed forest","^forestComposition$;^forest_composition$","varchar","NA",15,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
110,1,"metadata","substrate_geology","Pleistocene","^substrateGeology$;^substrate_geology$","varchar","NA",15,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
111,1,"metadata","forest_status","Old-growth ","^forestStatus$;^forest_status$","varchar","NA",20,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
112,1,"metadata","forest_age",">100","^forestAge(_yrs)?$;^forest_age(_yrs)?$","varchar","years",10,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
113,1,"metadata","general_slope",">20","^generalSlope(_deg)?$;^general_slope(_deg)?$","varchar","degree",50,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
114,1,"metadata","nearest_anthropogenic_edge","20","^nearestAnthropogenicEdge(_m)?$;^nearest_anthropogenic_edge(_m)?$","integer","m","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
115,1,"metadata","fragment_size","730","^fragmentSize(_ha)?$;^fragment_size(_ha)?$","integer","ha","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
116,1,"metadata","comments","high disturbed landscape","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
117,2,"dates","measuring_type","census0,  census1, traits sampling","^measuringType$;^measuring_type$","varchar","NA",18,"NA","NA","FALSE","TRUE","FALSE","^ *census ?[0-9]+ *$","NA","NA","NA","NA"
118,2,"dates","event_date","diciembre/01/2014","^eventDate$;^event_date$","varchar","NA",18,"NA","NA","FALSE","TRUE","FALSE","^[A-Za-z]+/[0-9]{1,2}/[0-9]{4};^([0-9]{1,4})/([0-9]{1,2})/([0-9]{1,4})$","NA","NA","NA","NA"
119,2,"dates","comments","sampling period under dry conditios ","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
180,3,"census0","tag","1, 1a, A1, …, na","^tag$","text","NA","NA","NA","NA","TRUE","TRUE","FALSE","^[0-9]{1,5}(\.[0-9]{1,2})?[a-zA-Z]?$;^[A-Za-z][0-9]{1,5}$","NA","NA","NA","NA"
181,3,"census0","taxo_code","Achanigr, Ident, Morfs1, …, "" ""","^(taxo_)?code$","varchar","NA",8,"NA","NA","FALSE","TRUE","FALSE","^[A-Za-z0-9]{5,8}$",9,154,"NA","NA"
122,3,"census0","subplot","1, 2, …, n","^subplot$","integer","NA","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
123,3,"census0","ramet","1, 2, …, n","^ramet$","integer","NA","NA",0,"NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
176,3,"census0","ind","1,2, …, n","^ind$","integer","NA","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
124,3,"census0","dbh","10.02, 2.58, … i","^DBH(_cm)?$;^dbh(_cm)?$","double precision","cm","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
125,3,"census0","pom","130,  NA, …, 130","^POM(_m)?$;^pom(_m)?$","integer","cm","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
126,3,"census0","height","10.02, 22.58, … i","^height(_m)?$","double precision","m","NA",0,120,"FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
127,3,"census0","comments","Vachellia, no-leaves, … palosangre, "" ""","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
128,4,"xy","tag","1, 1a, A1, …, na","^tag$","text","NA","NA","NA","NA","TRUE","TRUE","FALSE",,"NA","NA","NA","NA"
129,4,"xy","individual_x","0.5","^individualX(_m)?$;^individual_x(_m)?$","double precision","m","NA",10000,"NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
130,4,"xy","individual_y","1.5","^individualY(_m)?$;^individual_y(_m)?$","double precision","m","NA",10000,"NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
131,4,"xy","comments","moved five metres from the base","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
182,5,"aliveStatus","tag","1, 1a, A1, …, na","^tag$","text","NA","NA","NA","NA","TRUE","TRUE","FALSE","^[0-9]{1,5}(\.[0-9]{1,2})?[a-zA-Z]?$;^[A-Za-z][0-9]{1,5}$","NA","NA","NA","NA"
133,5,"aliveStatus","alive_status","alive, dead, NA, "" ""","^aliveStatus$;^alive_status$","varchar","NA",8,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
134,5,"aliveStatus","comments","tree was not found","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
183,6,"growth","tag","1, 1a, A1, …, na","^tag$","text","NA","NA","NA","NA","TRUE","TRUE","FALSE","^[0-9]{1,5}(\.[0-9]{1,2})?[a-zA-Z]?$;^[A-Za-z][0-9]{1,5}$",3,180,"NA","NA"
136,6,"growth","dbh","11.12, 3.58, … i","^DBH(_cm)?$;^dbh(_cm)?$","double precision","cm","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
137,6,"growth","pom","130,  NA, …, 130","^POM(_cm)?$;^pom(_cm)?$","integer","cm","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
138,6,"growth","alive_status","alive","^aliveStatus$;^alive_status$","varchar","NA",10,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
139,6,"growth","comments","tree is alive but defoliated","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
184,7,"mortality","tag","4, 4a, A4, …, na","^tag$","text","NA","NA","NA","NA","TRUE","TRUE","FALSE","^[0-9]{1,5}(\.[0-9]{1,2})?[a-zA-Z]?$;^[A-Za-z][0-9]{1,5}$",3,180,"NA","NA"
141,7,"mortality","mechanism_of_mortality","standing, broken, uprooted, …, unknown","^mechanismOfMortality$;^mechanism_of_mortality$","varchar","NA",30,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
142,7,"mortality","mortality_type","died alone, unknown, died alone, …,  unknown ","^mortalityType$;^mortality_type$","varchar","NA",30,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
143,7,"mortality","killer_process","burnt, burnt, killed by liana, …, unknown  ","^killerProcess$;^killer_process$","varchar","NA",30,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
144,7,"mortality","comments","there is not totally clear if the tree is dead","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
185,8,"recruitment","tag","1000, 1000a, A1000, …, na","^tag$","text","NA","NA","NA","NA","TRUE","TRUE","FALSE","^[0-9]{1,5}(\.[0-9]{1,2})?[a-zA-Z]?$;^[A-Za-z][0-9]{1,5}$","NA","NA","NA","NA"
146,8,"recruitment","code","Achanigr, Ident2, Morfs1, …, "" ""","^code$","varchar","NA",8,"NA","NA","FALSE","TRUE","FALSE",,9,154,"NA","NA"
147,8,"recruitment","subplot","1, 2, …, n","^subplot$","integer","NA","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
148,8,"recruitment","ramet","1, 2, …, n","^ramet$","integer","NA","NA",0,"NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
149,8,"recruitment","dbh","2.61, 2.58, … i","^DBH(_cm)?$;^dbh(_cm)?$","double precision","cm","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
150,8,"recruitment","pom","130, "" "", …, 130","^POM(_cm)?$;^pom(_cm)?$","integer","cm","NA",0,"NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
151,8,"recruitment","height","4.02, 5.50, … i","^height(_m)?$","double precision","m","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
152,8,"recruitment","comments","Vachellia, no-leaves, … palosangre, "" ""","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
153,9,"taxonomy","tag","1","^tag$","text","NA","NA","NA","NA","FALSE","TRUE","FALSE",,3,180,"NA","NA"
154,9,"taxonomy","taxo_code","Achanigr","^(taxo_)?code$","varchar","NA",8,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
155,9,"taxonomy","voucher","RG-1934","^voucher$","varchar","NA",11,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
156,9,"taxonomy","catalog_number","FMB-106177","^catalogNumber$;^catalog_number$","varchar","NA",15,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
157,9,"taxonomy","family","Achatocarpaceae","^family$","varchar","NA",20,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
158,9,"taxonomy","genus","Achatocarpus","^genus$","varchar","NA",20,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
159,9,"taxonomy","specific_epithet","nigricans","^specificEpithet$;^specific_epithet$","varchar","NA",20,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
160,9,"taxonomy","infraspecific_epithet",""" ""","^infraspecificEpithet$;^infraspecific_epithet$","varchar","NA",20,"NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
161,9,"taxonomy","digital_voucher","http://colecciones.humboldt.org.co/rec/imagenes/FMB/FMB-106177/FMB-106177.JPG","^digitalVoucher$;^digital_voucher$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
162,9,"taxonomy","recorded_by","González-M., R.; Nieto, J.; García, D.","^recordedBy$;^recorded_by$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
163,9,"taxonomy","event_date","diciembre/01/2014","^eventDate$;^event_date$","varchar","NA",18,"NA","NA","FALSE","FALSE","FALSE","^[A-Za-z]+/[0-9]{1,2}/[0-9]{4};^([0-9]{1,4})/([0-9]{1,2})/([0-9]{1,4})$","NA","NA","NA","NA"
164,9,"taxonomy","identified_by","Idárraga, A.","^identifiedBy$;^identified_by$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
165,9,"taxonomy","identified_date","julio/30/2015","^identifiedDate$;^identified_date$","varchar","NA",18,"NA","NA","FALSE","FALSE","FALSE","^[A-Za-z]+/[0-9]{1,2}/[0-9]{4};^([0-9]{1,4})/([0-9]{1,2})/([0-9]{1,4})$","NA","NA","NA","NA"
166,9,"taxonomy","comments","infertil voucher ","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
167,10,"members","first_name","Rene","^firstName$;^first_name$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
168,10,"members","middle_name",""" ""","^middleName$;^middle_name$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
169,10,"members","last_name"," Lopez-Camacho","^lastName$;^last_name$","text","NA","NA","NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
170,10,"members","institution","Universidad Distrital Francisco Jose de Caldas","^institution$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
171,10,"members","email","renelopezcamacho@gmail.com","^email$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
172,10,"members","sponsor","Instituto de Investigacion de Recursos Biologicos Alexander von Humboldt","^sponsor$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
173,10,"members","sampling","census0","^sampling$","varchar","NA",10,"NA","NA","FALSE","FALSE","FALSE",,2,117,"NA","NA"
174,10,"members","field_role","Principle Researcher","^fieldRole$;^field_role$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
175,10,"members","comments","Associated professor  at the university","^comments$","text","NA","NA","NA","NA","FALSE","FALSE","FALSE",,"NA","NA","NA","NA"
